System,id,Mol Mass,Mol Frac,Melt(K),Var(%),Reference,Boil(K),Var(%) .1,Reference,rho_a,rho_b,range(K),Var(%) .2,Reference,mu1_a,mu1_b,mu2_a,mu2_b,mu2_c,range(K)      .1,Var(%) .3,Reference,k_a,k_b,range(K),Var(%) .4,Reference   .1,cp_a,cp_b,cp_c,cp_d,Var(%) .5,Reference,Composition
KCl-MgCl2,59,81.6376,0.657-0.343,709,10,Chartrand 2001 [35],----,----,----,,,----,----,----,0.132,18500.0,,,,----,15,Bondarenko 1966 [21],,,----,----,----,,,,,----,----,"{'K': 0.2804097311139565, 'Cl': 0.5731967562953478, 'Mg': 0.1463935125906957}"
KCl-MgCl2,60,81.3277,0.672-0.328,704,10,Chartrand 2001 [35],----,----,----,2.0,0.000457,1030-1150,1,Lillebuen 1969 [90],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'K': 0.28865979381443296, 'Cl': 0.570446735395189, 'Mg': 0.140893470790378}"
KCl-MgCl2,61,81.245,0.676-0.324,703,10,Chartrand 2001 [35],----,----,----,,,----,----,----,0.141,18800.0,,,,----,15,Bondarenko 1966 [21],,,----,----,----,,,,,----,----,"{'K': 0.29087779690189325, 'Cl': 0.5697074010327022, 'Mg': 0.13941480206540446}"
KCl-MgCl2,62,81.1624,0.68-0.32,697.6,10,Chartrand 2001 [35],1691,----,Williams  2006 [149],2.06,0.000552,723-1073,1.2,Xu 2018 [151],,,,,,----,----,----,0.505,-0.0001,723-1023,7,Xu 2018 [151],76.7,0.00849,,,5,Xu 2018 [151],"{'K': 0.29310344827586204, 'Cl': 0.5689655172413792, 'Mg': 0.13793103448275862}"
KCl-MgCl2,63,79.7162,0.75-0.25,842,10,Chartrand 2001 [35],----,----,----,2.08,0.000533,1050-1120,1,Lillebuen 1969 [90],0.119,18900.0,,,,----,15,Bondarenko 1966 [21],,,----,----,----,,,,,----,----,"{'K': 0.3333333333333333, 'Cl': 0.5555555555555556, 'Mg': 0.1111111111111111}"
KCl-MgCl2,64,77.9395,0.836-0.164,960,10,Chartrand 2001 [35],----,----,----,,,----,----,----,0.116,19300.0,,,,----,15,Bondarenko 1966 [21],,,----,----,----,,,,,----,----,"{'K': 0.3863216266173753, 'Cl': 0.5378927911275416, 'Mg': 0.0757855822550832}"
KCl-MgCl2,65,77.0305,0.88-0.12,992,10,Chartrand 2001 [35],----,----,----,2.16,0.000606,1080-1140,1,Lillebuen 1969 [90],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'K': 0.4150943396226415, 'Cl': 0.5283018867924528, 'Mg': 0.056603773584905655}"
KCl-MgCl2,66,76.2041,0.92-0.08,1012,10,Chartrand 2001 [35],----,----,----,,,----,----,----,0.169,16000.0,,,,----,15,Bondarenko 1966 [21],,,----,----,----,,,,,----,----,"{'K': 0.4423076923076923, 'Cl': 0.5192307692307693, 'Mg': 0.038461538461538464}"
KCl-MgCl2,67,75.9148,0.934-0.066,1040,10,Chartrand 2001 [35],----,----,----,2.14,0.000584,1050-1140,1,Lillebuen 1969 [90],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'K': 0.45208131655372696, 'Cl': 0.5159728944820909, 'Mg': 0.031945788964181994}"
KCl-UCl3,68,317.4042,0.10-0.90,1088,10,Yingling 2023 [161],----,----,----,5.68,0.00118,1128-1246,1,Desyatnik 1976 [45],,,-1.0987,1729.0,4.0987,1118-1265,15*,Katyshev 2001 [166],,,----,----,----,,,,,----,----,"{'K': 0.02631578947368421, 'Cl': 0.736842105263158, 'U': 0.23684210526315788}"
KCl-UCl3,69,290.4206,0.2-0.8,1051,10,Yingling 2023 [161],----,----,----,,,----,----,----,,,-1.2881,1947.0,0.0,1086-1267,15*,Katyshev 2001 [166],,,----,----,----,,,,,----,----,"{'K': 0.05555555555555555, 'Cl': 0.7222222222222222, 'U': 0.2222222222222222}"
KCl-UCl3,70,282.3255,0.23-0.77,1039,10,Yingling 2023 [161],----,----,----,4.88,0.000789,1084-1202,1,Desyatnik 1976 [45],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'K': 0.06497175141242938, 'Cl': 0.7175141242937854, 'U': 0.2175141242937853}"
KCl-UCl3,71,276.9288,0.25-0.75,1029,10,Yingling 2023 [161],----,----,----,4.86,0.000825,1059-1147,1,Desyatnik 1976 [45],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'K': 0.07142857142857142, 'Cl': 0.7142857142857143, 'U': 0.21428571428571427}"
KCl-UCl3,72,263.4369,0.3-0.7,999,10,Yingling 2023 [161],----,----,----,,,----,----,----,,,-1.2779,1871.0,0.0,1033-1252,15*,Katyshev 2001 [166],,,----,----,----,,,,,----,----,"{'K': 0.08823529411764706, 'Cl': 0.7058823529411764, 'U': 0.2058823529411765}"
