System,id,Mol Mass,Mol Frac,Melt(K),Var(%),Reference,Boil(K),Var(%) .1,Reference,rho_a,rho_b,range(K),Var(%) .2,Reference,mu1_a,mu1_b,mu2_a,mu2_b,mu2_c,range(K)      .1,Var(%) .3,Reference,k_a,k_b,range(K),Var(%) .4,Reference   .1,cp_a,cp_b,cp_c,cp_d,Var(%) .5,Reference,Composition
CsCl-KCl,2163,----,0.25-0.75,----,----,----,----,----,----,2.6582,0.0007654,----,----,----,0.055,26192.28,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.125, 'Cl': 0.5, 'K': 0.375}"
CsCl-KCl,2164,----,0.5-0.5,----,----,----,----,----,----,3.0844,0.000884,----,----,----,0.058,25560.48,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.25, 'Cl': 0.5, 'K': 0.25}"
CsCl-KCl,2165,----,0.75-0.25,----,----,----,----,----,----,3.4567,0.0009898,----,----,----,0.064,24853.38,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.375, 'Cl': 0.5, 'K': 0.125}"
CsCl-KCl,2166,----,1.0-0.0,----,----,----,----,----,----,3.7987,0.0010849,----,----,----,0.084,22552.14,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.5, 'Cl': 0.5, 'K': 0.0}"
CsCl-LaCl3,2167,----,0.0-1.0,----,----,----,----,----,----,,,----,----,----,0.00984,61851.01,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.0, 'Cl': 0.75, 'La': 0.25}"
CsCl-LaCl3,2168,----,0.051-0.949,----,----,----,----,----,----,3.707,0.00055,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.013083632632119034, 'Cl': 0.7434581836839405, 'La': 0.24345818368394045}"
CsCl-LaCl3,2169,----,0.103-0.897,----,----,----,----,----,----,3.75,0.000638,----,----,----,0.01403,55936.83,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.027148128624143383, 'Cl': 0.7364259356879284, 'La': 0.2364259356879283}"
CsCl-LaCl3,2170,----,0.22-0.78,----,----,----,----,----,----,3.696,0.000684,----,----,----,0.02951,46556.15,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.06179775280898876, 'Cl': 0.7191011235955056, 'La': 0.21910112359550563}"
CsCl-LaCl3,2171,----,0.35-0.65,----,----,----,----,----,----,3.679,0.000752,----,----,----,0.03436,43033.16,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.10606060606060605, 'Cl': 0.696969696969697, 'La': 0.19696969696969696}"
CsCl-LaCl3,2172,----,0.477-0.523,----,----,----,----,----,----,3.707,0.00083,----,----,----,0.04018,39547.83,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.1565988181221274, 'Cl': 0.6717005909389363, 'La': 0.17170059093893633}"
CsCl-LaCl3,2173,----,0.602-0.398,----,----,----,----,----,----,3.708,0.000875,----,----,----,0.05585,34284.27,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.21530758226037197, 'Cl': 0.642346208869814, 'La': 0.14234620886981403}"
CsCl-LaCl3,2174,----,0.735-0.265,----,----,----,----,----,----,3.74,0.000941,----,----,----,0.05943,31472.57,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.29051383399209485, 'Cl': 0.6047430830039525, 'La': 0.10474308300395256}"
CsCl-LaCl3,2175,----,0.873-0.127,----,----,----,----,----,----,3.782,0.001015,----,----,----,0.02944,23623.26,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.3873114463176575, 'Cl': 0.5563442768411713, 'La': 0.05634427684117125}"
CsCl-LaCl3,2176,----,1.0-0.0,----,----,----,----,----,----,3.7808,0.0010474,----,----,----,0.03448,28342.89,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.5, 'Cl': 0.5, 'La': 0.0}"
CsCl-LiCl,2177,----,0.0-1.0,----,----,----,----,----,----,1.8965,0.0004458,----,----,----,0.047128500000000004,26317.8,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.0, 'Cl': 0.5, 'Li': 0.5}"
CsCl-LiCl,2178,----,0.0173-0.9827,----,----,----,----,----,----,1.9574,0.0004672,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.00865, 'Cl': 0.5, 'Li': 0.49135}"
CsCl-LiCl,2179,----,0.1733-0.8267,----,----,----,----,----,----,2.4174,0.0006285,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.08665, 'Cl': 0.5, 'Li': 0.41335}"
CsCl-LiCl,2180,----,0.25-0.75,----,----,----,----,----,----,,,----,----,----,0.088,20439.18,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.125, 'Cl': 0.5, 'Li': 0.375}"
CsCl-LiCl,2181,----,0.3-0.7,----,----,----,----,----,----,2.747,0.0007304,----,----,----,0.058263,23388.95,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.15, 'Cl': 0.5, 'Li': 0.35}"
CsCl-LiCl,2182,----,0.45-0.55,----,----,----,----,----,----,3.0975,0.000869,----,----,----,0.042181,26317.8,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.225, 'Cl': 0.5, 'Li': 0.275}"
CsCl-LiCl,2183,----,0.5-0.5,----,----,----,----,----,----,,,----,----,----,0.068,23221.59,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.25, 'Cl': 0.5, 'Li': 0.25}"
CsCl-LiCl,2184,----,0.53-0.47,----,----,----,----,----,----,3.2408,0.0009253,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.265, 'Cl': 0.5, 'Li': 0.235}"
CsCl-LiCl,2185,----,0.6-0.4,----,----,----,----,----,----,3.3352,0.0009427,----,----,----,0.034348,28284.31,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.3, 'Cl': 0.5, 'Li': 0.2}"
CsCl-LiCl,2186,----,0.7-0.3,----,----,----,----,----,----,,,----,----,----,0.041733,26819.89,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.35, 'Cl': 0.5, 'Li': 0.15}"
CsCl-LiCl,2187,----,0.75-0.25,----,----,----,----,----,----,3.5147,0.0009754,----,----,----,0.050528500000000004,25773.870000000003,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.375, 'Cl': 0.5, 'Li': 0.125}"
CsCl-LiCl,2188,----,0.8-0.2,----,----,----,----,----,----,,,----,----,----,0.049971,25439.15,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.4, 'Cl': 0.5, 'Li': 0.1}"
CsCl-LiCl,2189,----,0.9-0.1,----,----,----,----,----,----,3.697,0.0010474,----,----,----,0.05926,24602.33,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.45, 'Cl': 0.5, 'Li': 0.05}"
CsCl-LiCl,2190,----,1.0-0.0,----,----,----,----,----,----,3.7808,0.0010474,----,----,----,0.059239,25397.305,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.5, 'Cl': 0.5, 'Li': 0.0}"
CsCl-MgCl2,2191,----,0.0-1.0,----,----,----,----,----,----,1.95,0.0002712,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.0, 'Cl': 0.6666666666666666, 'Mg': 0.3333333333333333}"
CsCl-MgCl2,2192,----,0.655-0.345,----,----,----,----,----,----,2.954,0.000722,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.27931769722814503, 'Cl': 0.5735607675906184, 'Mg': 0.1471215351812367}"
CsCl-MgCl2,2193,----,0.667-0.333,----,----,----,----,----,----,3.032,0.0007777,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.2858979854264895, 'Cl': 0.5713673381911702, 'Mg': 0.14273467638234033}"
CsCl-MgCl2,2194,----,0.693-0.307,----,----,----,----,----,----,3.001,0.00073,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.30039011703511054, 'Cl': 0.5665366276549632, 'Mg': 0.1330732553099263}"
CsCl-MgCl2,2195,----,1.0-0.0,----,----,----,----,----,----,3.829,0.0011234,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.5, 'Cl': 0.5, 'Mg': 0.0}"
CsCl-MnCl2,2196,----,0.0-1.0,----,----,----,----,----,----,2.928,0.000615,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.0, 'Cl': 0.6666666666666666, 'Mn': 0.3333333333333333}"
CsCl-MnCl2,2197,----,0.1-0.9,----,----,----,----,----,----,2.969,0.00058,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.034482758620689655, 'Cl': 0.6551724137931034, 'Mn': 0.31034482758620685}"
CsCl-MnCl2,2198,----,0.2-0.8,----,----,----,----,----,----,3.167,0.000773,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.07142857142857142, 'Cl': 0.6428571428571428, 'Mn': 0.2857142857142857}"
CsCl-MnCl2,2199,----,0.3-0.7,----,----,----,----,----,----,3.204,0.000809,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.11111111111111112, 'Cl': 0.6296296296296297, 'Mn': 0.25925925925925924}"
CsCl-MnCl2,2200,----,0.4-0.6,----,----,----,----,----,----,3.212,0.000815,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.15384615384615385, 'Cl': 0.6153846153846154, 'Mn': 0.23076923076923075}"
CsCl-MnCl2,2201,----,0.5-0.5,----,----,----,----,----,----,3.24,0.000835,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.2, 'Cl': 0.6, 'Mn': 0.2}"
CsCl-MnCl2,2202,----,0.6-0.4,----,----,----,----,----,----,3.202,0.000773,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.25, 'Cl': 0.5833333333333334, 'Mn': 0.16666666666666669}"
CsCl-MnCl2,2203,----,0.7-0.3,----,----,----,----,----,----,3.271,0.000795,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.30434782608695654, 'Cl': 0.5652173913043478, 'Mn': 0.13043478260869565}"
CsCl-MnCl2,2204,----,0.8-0.2,----,----,----,----,----,----,3.473,0.000926,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.36363636363636365, 'Cl': 0.5454545454545455, 'Mn': 0.09090909090909091}"
CsCl-MnCl2,2205,----,0.9-0.1,----,----,----,----,----,----,3.576,0.000949,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.42857142857142855, 'Cl': 0.5238095238095238, 'Mn': 0.047619047619047616}"
CsCl-MnCl2,2206,----,1.0-0.0,----,----,----,----,----,----,3.731,0.001023,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.5, 'Cl': 0.5, 'Mn': 0.0}"
CsCl-NaCl,2207,----,0.0-1.0,----,----,----,----,----,----,2.139,0.0005444,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.0, 'Cl': 0.5, 'Na': 0.5}"
CsCl-NaCl,2208,----,0.25-0.75,----,----,----,----,----,----,2.7526,0.0007616,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.125, 'Cl': 0.5, 'Na': 0.375}"
CsCl-NaCl,2209,----,0.5-0.5,----,----,----,----,----,----,3.2194,0.000941,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.25, 'Cl': 0.5, 'Na': 0.25}"
CsCl-NaCl,2210,----,0.75-0.25,----,----,----,----,----,----,3.4953,0.0009853,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.375, 'Cl': 0.5, 'Na': 0.125}"
CsCl-NaCl,2211,----,1.0-0.0,----,----,----,----,----,----,3.7987,0.0010849,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.5, 'Cl': 0.5, 'Na': 0.0}"
CsCl-PbCl2,2212,----,0.0-1.0,----,----,----,----,----,----,6.089,0.001477,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.0, 'Cl': 0.6666666666666666, 'Pb': 0.3333333333333333}"
CsCl-PbCl2,2213,----,0.236-0.764,----,----,----,----,----,----,5.423,0.001382,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.085383502170767, 'Cl': 0.6382054992764109, 'Pb': 0.276410998552822}"
CsCl-PbCl2,2214,----,0.452-0.548,----,----,----,----,----,----,4.921,0.001338,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.17739403453689168, 'Cl': 0.6075353218210361, 'Pb': 0.21507064364207223}"
CsCl-PbCl2,2215,----,0.65-0.35,----,----,----,----,----,----,4.459,0.00121,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.2765957446808511, 'Cl': 0.574468085106383, 'Pb': 0.14893617021276595}"
CsCl-PbCl2,2216,----,0.741-0.259,----,----,----,----,----,----,4.337,0.001223,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.3280212483399734, 'Cl': 0.5573262505533422, 'Pb': 0.11465250110668439}"
CsCl-PbCl2,2217,----,0.832-0.168,----,----,----,----,----,----,4.217,0.00123,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.3837638376383764, 'Cl': 0.5387453874538746, 'Pb': 0.0774907749077491}"
CsCl-PbCl2,2218,----,1.0-0.0,----,----,----,----,----,----,3.718,0.001024,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.5, 'Cl': 0.5, 'Pb': 0.0}"
CsCl-RbCl,2219,----,0.0-1.0,----,----,----,----,----,----,3.0863,0.0008514,----,----,----,0.072,24602.33,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.0, 'Cl': 0.5, 'Rb': 0.5}"
CsCl-RbCl,2220,----,0.25-0.75,----,----,----,----,----,----,3.2733,0.0009131,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.125, 'Cl': 0.5, 'Rb': 0.375}"
CsCl-RbCl,2221,----,0.5-0.5,----,----,----,----,----,----,3.4729,0.000991,----,----,----,0.063,25200.65,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.25, 'Cl': 0.5, 'Rb': 0.25}"
CsCl-RbCl,2222,----,0.75-0.25,----,----,----,----,----,----,3.6314,0.0010327,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.375, 'Cl': 0.5, 'Rb': 0.125}"
CsCl-RbCl,2223,----,1.0-0.0,----,----,----,----,----,----,3.7987,0.0010849,----,----,----,0.084,22552.14,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.5, 'Cl': 0.5, 'Rb': 0.0}"
CsCl-UCl4,2224,----,0.0-1.0,----,----,----,----,----,----,5.2508,0.0019455,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.0, 'Cl': 0.8, 'U': 0.2}"
CsCl-UCl4,2225,----,0.0742-0.9258,----,----,----,----,----,----,4.5279,0.0012847,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.015531460627119357, 'Cl': 0.7906811236237284, 'U': 0.1937874157491523}"
CsCl-UCl4,2226,----,0.1665-0.8335,----,----,----,----,----,----,4.4601,0.0013398,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.03699588934562826, 'Cl': 0.777802466392623, 'U': 0.18520164426174868}"
CsCl-UCl4,2227,----,0.2071-0.7929,----,----,----,----,----,----,4.5678,0.0013751,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.04729714298764473, 'Cl': 0.7716217142074132, 'U': 0.1810811428049421}"
CsCl-UCl4,2228,----,0.228-0.772,----,----,----,----,----,----,4.5521,0.0013904,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.052826691380908244, 'Cl': 0.768303985171455, 'U': 0.17886932344763667}"
CsCl-UCl4,2229,----,0.3081-0.6919,----,----,----,----,----,----,4.6211,0.0014976,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.0755943764261354, 'Cl': 0.7546433741443188, 'U': 0.16976224942954585}"
CsCl-UCl4,2230,----,0.3448-0.6552,----,----,----,----,----,----,4.6966,0.0016096,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.08694775065563848, 'Cl': 0.7478313496066169, 'U': 0.1652208997377446}"
CsCl-UCl4,2231,----,0.3592-0.6408,----,----,----,----,----,----,4.4808,0.0014134,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.09157658576381807, 'Cl': 0.7450540485417092, 'U': 0.16336936569447277}"
CsCl-UCl4,2232,----,0.3756-0.6244,----,----,----,----,----,----,4.6601,0.0015971,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.09697407828152432, 'Cl': 0.7418155530310854, 'U': 0.16121036868739028}"
CsCl-UCl4,2233,----,0.4114-0.5886,----,----,----,----,----,----,4.4402,0.0013752,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.10924637527218652, 'Cl': 0.7344521748366881, 'U': 0.1563014498911254}"
CsCl-UCl4,2234,----,0.4375-0.5625,----,----,----,----,----,----,4.4225,0.0013663,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.11864406779661017, 'Cl': 0.7288135593220338, 'U': 0.15254237288135594}"
CsCl-UCl4,2235,----,0.5096-0.4904,----,----,----,----,----,----,4.1955,0.0011917,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.1468080202811708, 'Cl': 0.7119151878312976, 'U': 0.1412767918875317}"
CsCl-UCl4,2236,----,0.5611-0.4389,----,----,----,----,----,----,4.0492,0.0010682,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.16917417915397837, 'Cl': 0.698495492507613, 'U': 0.13233032833840866}"
CsCl-UCl4,2237,----,0.6114-0.3886,----,----,----,----,----,----,3.9243,0.0009688,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.1931265398951292, 'Cl': 0.6841240760629225, 'U': 0.12274938404194832}"
CsCl-UCl4,2238,----,0.6635-0.3365,----,----,----,----,----,----,3.4249,0.0004955,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.22046851636484466, 'Cl': 0.6677188901810932, 'U': 0.11181259345406214}"
CsCl-UCl4,2239,----,0.6696-0.3304,----,----,----,----,----,----,3.5297,0.0006065,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.2238566461620754, 'Cl': 0.6656860123027547, 'U': 0.11045734153516984}"
CsCl-UCl4,2240,----,0.6887-0.3113,----,----,----,----,----,----,3.7666,0.0008536,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.23473874365179453, 'Cl': 0.6591567538089232, 'U': 0.10610450253928219}"
CsCl-UCl4,2241,----,0.6957-0.3043,----,----,----,----,----,----,3.8441,0.0009241,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.23883415153283669, 'Cl': 0.656699509080298, 'U': 0.10446633938686532}"
CsCl-UCl4,2242,----,0.73-0.27,----,----,----,----,----,----,3.6417,0.0007094,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.2597864768683274, 'Cl': 0.6441281138790036, 'U': 0.09608540925266905}"
CsCl-UCl4,2243,----,0.7594-0.2406,----,----,----,----,----,----,3.8629,0.0009697,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.27900653978984497, 'Cl': 0.632596076126093, 'U': 0.08839738408406202}"
CsCl-UCl4,2244,----,0.7872-0.2128,----,----,----,----,----,----,3.9463,0.0010801,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.29836264402668283, 'Cl': 0.6209824135839903, 'U': 0.08065494238932687}"
CsCl-UCl4,2245,----,0.8055-0.1945,----,----,----,----,----,----,3.9315,0.0010738,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.31178633636539577, 'Cl': 0.6129281981807625, 'U': 0.0752854654538417}"
CsCl-UCl4,2246,----,0.8617-0.1383,----,----,----,----,----,----,3.9309,0.0011113,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.3568263696219305, 'Cl': 0.5859041782268416, 'U': 0.05726945215122779}"
CsCl-UCl4,2247,----,0.9265-0.0735,----,----,----,----,----,----,3.852,0.0010701,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.4172483674848007, 'Cl': 0.5496509795091196, 'U': 0.033100653006079714}"
CsCl-UCl4,2248,----,0.9674-0.0326,----,----,----,----,----,----,3.7852,0.0010355,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.4611497759557631, 'Cl': 0.5233101344265421, 'U': 0.015540089617694723}"
CsCl-UCl4,2249,----,0.9898-0.0102,----,----,----,----,----,----,3.667,0.0009308,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.48744213532945924, 'Cl': 0.5075347188023244, 'U': 0.005023145868216291}"
CsCl-UCl4,2250,----,1.0-0.0,----,----,----,----,----,----,3.8047,0.0010855,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.5, 'Cl': 0.5, 'U': 0.0}"
CsCl-ZnCl2,2251,----,0.0-1.0,----,----,----,----,----,----,2.8375,0.00052926,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.0, 'Cl': 0.6666666666666666, 'Zn': 0.3333333333333333}"
CsCl-ZnCl2,2252,----,0.0062-0.9938,----,----,----,----,----,----,2.8516,0.000538,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.0020709466230209098, 'Cl': 0.6659763511256597, 'Zn': 0.3319527022513194}"
CsCl-ZnCl2,2253,----,0.0138-0.9862,----,----,----,----,----,----,2.8575,0.00054123,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.0046212577858147485, 'Cl': 0.6651262474047285, 'Zn': 0.33025249480945684}"
CsCl-ZnCl2,2254,----,0.0487-0.9513,----,----,----,----,----,----,2.916,0.00059476,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.016501202859756717, 'Cl': 0.6611662657134144, 'Zn': 0.3223325314268288}"
CsCl-ZnCl2,2255,----,0.056-0.944,----,----,----,----,----,----,,,----,----,----,0.0003961,67497.42,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.019021739130434784, 'Cl': 0.6603260869565217, 'Zn': 0.32065217391304346}"
CsCl-ZnCl2,2256,----,0.0878-0.9122,----,----,----,----,----,----,2.9745,0.00064724,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.030149028226083372, 'Cl': 0.6566169905913055, 'Zn': 0.31323398118261103}"
CsCl-ZnCl2,2257,----,0.12-0.88,----,----,----,----,----,----,,,----,----,----,0.001314,56164.86,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.041666666666666664, 'Cl': 0.6527777777777778, 'Zn': 0.3055555555555556}"
CsCl-ZnCl2,2258,----,0.148-0.852,----,----,----,----,----,----,3.0642,0.00072818,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.051893408134642355, 'Cl': 0.6493688639551192, 'Zn': 0.29873772791023845}"
CsCl-ZnCl2,2259,----,0.193-0.807,----,----,----,----,----,----,,,----,----,----,0.00271,47593.38,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.0687566797292483, 'Cl': 0.6437477734235839, 'Zn': 0.28749554684716777}"
CsCl-ZnCl2,2260,----,0.261-0.739,----,----,----,----,----,----,,,----,----,----,0.005044,42273.33,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.09529025191675795, 'Cl': 0.6349032493610807, 'Zn': 0.2698064987221614}"
CsCl-ZnCl2,2261,----,0.286-0.714,----,----,----,----,----,----,3.2111,0.00085904,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.105379513633014, 'Cl': 0.6315401621223287, 'Zn': 0.2630803242446573}"
CsCl-ZnCl2,2262,----,0.332-0.668,----,----,----,----,----,----,,,----,----,----,0.00349,42193.84,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.12443778110944528, 'Cl': 0.6251874062968515, 'Zn': 0.25037481259370314}"
CsCl-ZnCl2,2263,----,0.388-0.612,----,----,----,----,----,----,3.2531,0.00088586,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.14854517611026033, 'Cl': 0.6171516079632465, 'Zn': 0.23430321592649309}"
CsCl-ZnCl2,2264,----,0.419-0.581,----,----,----,----,----,----,3.3095,0.0009197,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.162340178225494, 'Cl': 0.6125532739248354, 'Zn': 0.22510654784967066}"
CsCl-ZnCl2,2265,----,0.468-0.532,----,----,----,----,----,----,3.314,0.0009246,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.18483412322274884, 'Cl': 0.6050552922590837, 'Zn': 0.21011058451816747}"
CsCl-ZnCl2,2266,----,0.494-0.506,----,----,----,----,----,----,,,----,----,----,0.05385,26321.57,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.19712689545091777, 'Cl': 0.6009577015163606, 'Zn': 0.20191540303272146}"
CsCl-ZnCl2,2267,----,0.543-0.457,----,----,----,----,----,----,3.375,0.0009253,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.221001221001221, 'Cl': 0.5929995929995929, 'Zn': 0.185999185999186}"
CsCl-ZnCl2,2268,----,0.595-0.405,----,----,----,----,----,----,,,----,----,----,0.06688,26125.33,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.24740124740124736, 'Cl': 0.5841995841995842, 'Zn': 0.16839916839916838}"
