System      , id , Mol Mass , Mol Frac             , Melt(K) , Var(%) , Reference   , Boil(K) , Var(%) , Reference      , rho_a     , rho_b     , range(K)      , Var(%) , Reference     , mu1_a     , mu1_b     , mu2_a      , mu2_b      , mu2_c     , range(K)      , Var(%) , Reference    , k_a        , k_b        , range(K)     , Var(%) , Reference   , cp_a      , cp_b       , cp_c       , cp_d      , Var(%) , Reference
KCl-UCl3,86,133.9154,0.78-0.22,874,10,Yingling 2023 [161],----,----,----,3.12E+00,7.24E-04,956-1137,1,Desyatnik 1976 [45],----,----,-0.9033,1057,0,942-1240,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
KCl-UCl3,87,112.0586,0.861-0.139,957,10,Yingling 2023 [161],----,----,----,2.76E+00,6.82E-04,998-1158,1,Desyatnik 1976 [45],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-UCl3,88,101.535,0.90-0.10,993,10,Yingling 2023 [161],----,----,----,2.67E+00,6.98E-04,1022-1206,1,Desyatnik 1976 [45],----,----,-0.7024,789,0,1025-1240,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
KCl-KF,89,60.5649,0.15-0.85,----,----,----,----,----,----,2.58E+00,6.76E-04,1093-1195,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-KF,90,61.3876,0.2-0.8,----,----,----,----,----,----,2.55E+00,6.77E-04,1061-1153,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-KF,91,62.2104,0.25-0.75,----,----,----,----,----,----,2.4679,0.000633,1046-1181,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-KF,92,64.6785,0.4-0.6,----,----,----,----,----,----,2.3804,0.000619,962-1158,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-KF,93,66.324,0.5-0.5,----,----,----,----,----,----,2.3369,0.000624,970-1227,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-KF,94,67.9695,0.6-0.4,----,----,----,----,----,----,2.3173,0.000635,975-1141,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-KF,95,71.2604,0.8-0.2,----,----,----,----,----,----,2.2469,0.000634,1009-1159,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-KF,96,72.0831,0.85-0.15,----,----,----,----,----,----,2.1695,0.00058,1031-1141,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KF-LiF,97,30.763,0.15-0.85,1049,5*,Aukrust 1960 [6],----,----,----,----,----,----,----,----,0.1307,23671,----,----,----,1050-1210,15,Nguyen 2000 [169],----,----,----,----,----,----,----,----,----,----,----
